Area,All Ages,Age 0 - 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Aged 85+
lacu2023:Southampton,"247,672","13,748","14,271","13,977","15,679","25,744","20,562","20,174","18,351","16,487","14,619","14,057","13,797","11,800","9,661","8,967","6,740","4,462","4,576"
lacu2023:Isle of Wight,"140,885","5,570","6,795","7,060","6,515","5,983","6,674","7,228","6,918","7,038","7,779","10,227","11,206","10,592","10,491","11,183","8,861","5,350","5,415"
lacu2023:Buckinghamshire,"555,161","30,863","34,967","36,958","31,726","25,922","29,983","34,301","36,313","38,370","38,246","40,641","39,425","32,973","26,948","26,951","20,895","14,653","15,026"
lacu2023:East Sussex,"546,861","24,888","28,536","30,658","28,128","24,243","26,356","29,535","29,206","29,650","32,988","39,712","41,812","37,734","34,731","38,299","29,680","19,658","21,047"
lacu2023:Hampshire,"1,406,110","70,781","80,902","82,198","75,175","68,110","77,729","87,591","86,757","86,152","90,017","101,560","103,241","89,438","75,946","80,939","63,015","42,824","43,735"
lacu2023:Kent,"1,578,552","87,016","94,853","98,477","89,183","83,057","90,079","100,663","99,724","98,233","100,345","111,383","110,317","93,908","81,505","87,266","65,921","43,790","42,832"
lacu2023:Oxfordshire,"726,727","37,764","40,783","43,076","44,327","48,311","49,041","51,652","49,443","46,691","45,999","49,691","48,705","40,386","33,665","34,203","26,316","18,064","18,610"
lacu2023:Surrey,"1,205,994","65,295","73,637","76,758","70,754","64,320","62,677","72,657","79,149","84,746","86,036","87,438","84,542","69,402","56,797","58,149","45,694","31,761","36,182"
lacu2023:West Sussex,"885,048","44,307","49,748","51,696","45,862","41,163","47,446","54,209","54,743","55,100","56,633","62,776","63,082","55,576","49,176","52,973","41,537","28,307","30,714"
lacu2023:Bath and North East Somerset,"192,419","8,996","10,029","10,593","13,678","18,453","11,345","11,770","10,974","10,879","11,512","12,753","12,797","10,908","9,407","9,814","7,545","5,356","5,610"
